protein_id	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
P38606	0.8114	0.8575	1.0381	0.6448	0.719	0.4805
P18077	0.3672	0.3853	0.4091	0.4109	0.4634	0.3561
P35580	2.9815	4.6176	2.8709	7.167	2.0052	0.8995
P84095	0.1424	0.2238	0.1281	0.1643	0.2466	0.1268
P25786	1.0748	0.9451	0.8032	0.7884	0.8798	0.7631
P30044	0.5663	0.5395	0.4876	0.5448	1.6897	0.8214
P53396	4.999	4.2188	5.0255	4.6708	5.0065	3.5732
P45880	1.3482	1.3281	1.1356	1.0136	1.0431	0.9045
Q8N1G4	0.9274	0.7698	1.1667	1.2239	1.0138	0.5932
P10809	9.4528	8.4093	10.3654	8.3071	8.3129	5.7262
P08708	0.4751	0.9442	0.9746	1.4626	0.8139	0.4024
O43395	0.3147	0.2771	0.3948	0.318	0.3691	0.2026
Q13247	0.462	0.5714	0.3708	0.3658	0.3803	0.304
Q9P2J5	3.4639	2.8624	3.3183	5.4962	3.304	2.5454
P62854	0.2291	0.0886	0.1748	0.1982	0.1508	0.3258
P07195	4.1395	3.9203	4.5151	3.5738	4.0355	3.196
O60264	0.5482	0.7595	0.3642	0.7582	0.5223	0.5645
P18754	0.2573	0.3278	0.2289	0.4944	0.294	0.3018
Q96TA1	1.1397	0.8902	1.0906	1.7215	2.8746	1.0888
Q96DB5	0.1114	0.1124	0.1323	0.108	0.1225	0.0871
Q9BRA2	0.3197	0.2952	0.4645	0.3313	0.3284	0.3962
Q15637	0.2693	0.3927	0.3605	0.4246	0.4316	0.4332
P48739	0.2835	0.2739	0.1924	0.3704	0.2988	0.2984
P62937	1.8364	1.7392	1.5482	1.5854	1.5513	1.3711
O96005	0.2619	0.2278	0.2905	0.2017	0.278	0.1874
P08621	0.4062	0.5601	0.3588	0.3271	0.5242	0.3082
P04083	3.6345	3.4256	2.8752	2.7666	3.2839	2.597
P17858	1.1908	1.1099	0.9269	0.5424	1.1466	0.9359
Q15424	1.4121	0.6801	0.459	1.0423	1.1097	0.4907
P54727	1.4825	1.2052	1.4594	1.1725	1.3249	0.9533
P42704	2.8909	3.2323	4.0207	3.1755	2.8449	2.2956
P17096	0.3216	0.2529	0.2777	0.4327	0.2343	0.1606
P27824	1.2718	1.7951	1.0608	2.4116	2.0748	2.7297
P67870	0.1862	0.3289	0.1451	0.313	0.2292	0.1642
Q8IY81	0.8306	0.7066	0.899	0.789	0.9109	0.5653
P42166	1.3387	1.8234	1.7367	2.2786	1.2323	1.1862
Q15459	1.4639	1.427	2.1245	1.4059	1.8368	1.0486
P12955	0.2371	0.3581	0.1708	0.1881	0.2041	0.1875
P60228	0.9224	0.832	0.6866	0.9615	0.8253	0.8252
Q9BVG4	0.2068	0.1735	0.1416	0.253	0.2383	0.2335
Q14694	0.5802	0.5266	0.6057	0.6291	0.5891	0.3978
O14879	1.243	1.0566	0.8169	0.5644	0.3775	0.3615
O75643	2.83	2.1643	2.5944	2.6615	2.007	1.7947
F8W7C6	0.7328	0.8693	0.7235	0.8617	0.9173	0.7594
F8VSA6	0.0145	0.0275	0.0106	0.0372	0.028	0.048
P30050	1.7238	1.4301	1.6763	1.2646	1.4665	1.0201
O00231	1.4566	1.2719	1.34	1.5184	1.2858	0.9828
P20618	0.3181	0.5051	0.1745	0.5248	0.2073	0.2339
Q9BUF5	1.4274	1.6556	1.2267	2.5241	2.7203	1.5687
P28074	0.7594	0.3647	0.4975	0.2154	0.3965	0.3036
Q5VYK3	0.7231	0.5473	1.5812	0.9248	0.61	0.3643
P22626	2.8133	3.037	3.0679	2.7076	2.9702	2.3272
P27694	0.7492	0.4055	0.7298	0.4379	0.2111	0.2808
P55145	0.2581	0.3074	0.3031	0.7461	0.4418	0.3494
P05161	0.3577	0.3341	0.3129	0.3144	0.2721	0.3347
P20592	2.3249	4.3252	2.1841	3.5066	1.028	1.0973
Q01813	2.1573	2.1184	1.4927	3.4012	2.7097	2.158
Q9P265	0.5392	0.4628	0.6288	0.5264	0.5925	0.4596
Q9Y6N5	0.7116	0.7398	0.6002	0.3996	0.439	0.3901
Q3KQU3	1.6344	0.7776	1.886	1.3081	0.4317	0.5322
Q9BS26	0.9296	0.8232	0.8943	0.7295	0.8133	0.5821
P63208	0.2987	0.3306	0.208	0.332	0.3058	0.2711
Q13404	0.1143	0.3788	0.3359	0.5395	0.4812	0.3726
Q7L2H7	0.2671	0.5248	0.1758	0.3812	0.2719	0.2707
C9J9K3	1.4295	1.7601	1.9349	2.1637	1.9269	1.6793
A0A0A0MT44	0.7367	0.6813	0.6113	0.8001	0.7581	0.5804
Q96EM0	0.1969	0.1905	0.1995	0.2182	0.1843	0.1124
O95810	2.1762	0.419	0.5493	1.352	1.3433	1.3591
P60891	0.2911	0.2827	0.2783	0.3167	0.3612	0.2658
Q13442	0.4287	0.3109	0.3686	0.2125	0.3186	0.166
P51858	0.441	0.3995	0.4676	0.3776	0.4405	0.3737
P21281	0.7619	0.5253	0.698	0.7162	0.317	0.2929
P22314	6.0988	6.2678	5.7552	8.9383	6.1805	4.8727
E9PF19	0.1904	0.267	0.2385	0.2606	0.245	0.123
P10599	0.7251	0.7236	0.9016	0.9214	1.0548	0.7101
P05141	1.5126	1.2862	2.2766	1.2046	1.5433	0.8754
P13639	14.494	12.9923	15.3256	12.0071	13.7249	9.7748
Q9Y617	0.5441	0.5101	0.6205	0.5554	0.7081	0.6458
P12236	0.5394	0.3872	0.2604	0.5549	0.4496	0.5212
P07954	1.1822	1.1062	0.9224	1.3093	1.0446	0.7282
P46977	0.7413	0.561	0.6711	0.5632	1.8606	0.3804
P04264	1.3596	0.5795	0.3058	1.2085	0.5436	0.3206
O75439	0.343	0.2821	0.3189	0.2857	0.3763	0.2242
P62701	1.1464	1.4802	1.0842	1.6528	1.2141	1.0263
Q9HCC0	0.2607	0.3357	0.4575	0.277	0.1915	0.1607
Q9H4A6	0.3883	0.188	0.3376	0.3433	0.6124	0.3226
P09914	0.5537	0.6424	0.5343	0.2479	0.5067	0.178
O43290	0.6442	0.46	0.5799	0.5864	0.4857	0.317
P53621	2.5075	2.1141	1.4088	1.7657	2.2461	1.4148
P62333	1.8386	1.534	1.1576	1.455	1.4186	1.0987
Q99460	3.6148	2.4929	2.7771	4.118	2.5721	1.361
P52209	2.5306	1.9725	3.0159	2.3684	2.8514	1.6861
Q9Y6M1	1.2441	0.8585	1.9186	1.0871	1.1735	0.5177
P07305	0.239	0.2648	0.2545	0.1134	0.139	0.1154
P42224	2.4324	1.4732	2.3942	1.2571	1.5135	0.9611
P53367	0.1857	0.0803	0.142	0.1013	0.6539	0.1402
P45877	0.1833	0.0746	0.1247	0.1405	0.2239	0.1173
Q12906	4.1467	5.4246	3.4162	3.768	4.0356	4.0664
Q13561	0.7149	1.0619	0.7233	1.2984	0.7209	0.5978
A0A0C4DGA1	0.0424	0.0877	0.0513	0.1158	0.1254	0.1019
Q14CN4	0.0759	0.0056	0.0426	0.0687	0.2465	0.0585
A0A1C7CYX9	1.5423	1.1507	1.5759	1.183	1.0826	0.802
P00338	6.7796	5.76	7.8225	5.0704	6.1624	4.2883
P0DP24	1.0742	1.1419	0.7523	1.9732	1.0232	1.0836
Q92538	1.5743	0.8983	1.4785	0.835	0.9713	0.7238
P24534	0.4537	0.574	0.4055	0.9975	0.5853	0.6317
P55809	0.5017	0.4098	0.4689	0.4223	0.3904	0.3279
Q86UP2	5.4004	3.8392	3.5651	5.6349	5.9528	3.7111
Q16626	0.2271	0.1914	0.1915	0.2262	0.2331	0.0897
Q99714	0.5373	0.5739	0.509	0.5116	0.5845	0.3264
P61006	0.4254	0.3042	0.3267	0.1159	0.2685	0.1789
Q16513	0.2429	0.1551	1.7472	0.2225	0.1134	0.3405
Q5TZA2	3.1095	4.4274	4.3911	5.2708	2.0705	2.9291
O60664	2.4834	2.1446	2.3546	2.1277	2.1788	1.6281
P05787	13.3773	10.3354	14.4953	9.7659	9.8172	7.1711
P35527	1.3036	1.3308	0.2014	0.636	0.2627	0.2097
Q9H3N1	0.853	0.8062	0.8596	0.842	0.8756	0.7478
Q6P996	0.3647	0.2452	0.404	0.2318	0.2236	0.1808
P40939	1.9891	0.9685	1.8178	0.9465	1.0699	0.7446
P54136	2.3893	1.6362	1.8668	1.8144	2.24	1.3309
Q9Y262	1.3627	1.1572	1.441	1.0912	1.2797	0.8417
Q10713	0.5758	0.4684	0.5674	0.2531	0.5121	0.2971
E9PK54	4.4623	4.8575	4.0741	3.9418	3.6535	3.3875
Q9P2E9	5.4497	4.6495	4.5929	4.3138	4.3067	3.3859
P07355	7.4666	6.7834	7.0028	5.6847	7.3325	5.1571
Q07960	0.2892	0.3969	0.4888	0.5327	0.4784	0.3883
Q15942	4.5735	3.3929	3.7565	3.1345	3.7606	2.67
Q8NBS9	1.2343	0.8678	5.3864	0.7224	1.0909	0.6621
P46940	6.7697	5.4577	8.0299	6.2943	7.2467	3.8193
P40121	1.1551	0.8427	1.0261	0.656	0.8702	0.5343
P55795	1.9894	2.2911	2.0886	2.7917	2.6381	1.8792
P08758	1.8826	1.9034	1.6258	2.163	1.7213	1.4356
O75368	0.0955	0.0998	0.0949	0.0749	0.1403	0.1133
